PERIMETER,DATA_ADMIN,WARD,ALDERMAN,CLASS,WARD_PHONE,HALL_PHONE,HALL_OFFIC,ADDRESS,EDIT_DATE1,SHAPE_AREA,SHAPE_LEN
71516.46272640999814,95884523.998371005058289,4,WILLIAM BURNS,3,773-536-8103,312-744-2690,"121 N LASALLE ST, RM 300 OFFICE 10, 60602",4659 S COTTAGE GROVE STE 203,20030527,96939780.85979999601841,73428.701824000003398
46189.174035789998015,62788695.128278099000454,33,RICHARD F. MELL,3,773-478-8040,312-744-6825,"121 N LASALLE ST, RM 208, 60602",3649 N  KEDZIE               AV,20020301,62788695.077200002968311,46189.17337260000204
44816.944175769996946,46852295.816481500864029,49,JOSEPH A. MOORE,5,773-338-5796,312-744-3067,"121 N LASALLE ST, RM 300 OFFICE 24, 60602",7356 N  GREENVIEW            AV,20030527,46828493.67339999973774,45091.156684000001405
60411.795940780000819,85263296.985232904553413,37,EMMA MITTS,2,773-745-2894,312-744-8019,"121 N. LASALLE ST, RM 300, 60602",5344 W NORTH      AVE,20030527,85263296.92620000243187,60411.795498999999836
16209.674428840000473,5490751.106739100068808,OUT,,,,,,,,5475219.333700000308454,16252.000890799999979
69225.366758970005321,176640576.144782990217209,18,LONA LANE,5,773-471-1991,312-744-6856,"121 N La Salle St, RM 300",8146 S  KEDZIE AVE,02-07-07,176640578.564000010490417,69225.370710300005157
49778.984046619996661,79982878.70888189971447,31,RAY SUAREZ,3,773-486-6488,312-744-6102,"121 N LASALLE ST, RM 203, 60602",4502 W  FULLERTON            AV,20030527,79982878.741400003433228,49778.983534300001338
79433.763484850001987,109177969.052803993225098,25,DANIEL S. SOLIS,4,773-523-4100,312-744-6845,"121 N LASALLE ST, RM 293 OFFICE 14, 60602",2439 S OAKLEY BLVD,20030527,109177969.113999992609024,79433.76272909999534
70619.852733230000013,154632312.044335007667542,8,MICHELLE HARRIS,4,773-874-3300,312-744-3075,"121 N La Salle St, RM 207",8539 S COTTAGE GROVE AVE,02-07-07,154640477.712000012397766,70620.116743199992925
72164.074788269994315,69009372.781459599733353,26,ROBERTO MALDONADO,4,773-395-0143,312-744-6853,"121 N LASALLE ST, RM 300 OFFICE 13, 60602",2434 W DIVISION ST,20090910,69009372.983600005507469,72164.07589690000168
95047.578509660001146,118132019.226340994238853,28,JASON ERVIN,3,773-533-0900,312-744-3066,"121 N LASALLE ST, RM 203 OFFICE 14, 60602",259 N  PULASKI RD,20030527,118132019.429000005125999,95047.578594000005978
98227.509698070003651,123894705.084285005927086,3,PAT DOWELL,2,773-373-9273,312-744-8734,"121 N LASALLE ST, RM 300 OFFICE 3, 60602",5054 S STATE ST,20030527,123894705.563999995589256,98227.509048299994902
47398.482738450002216,89880955.685218006372452,47,AMEYA PAWAR,5,773-348-8400,312-744-3180,"121 N LASALLE ST, RM 300 OFFICE 27, 60602",4237 N  LINCOLN              AV,20030527,89880955.954600006341934,47398.482552399997076
59640.697039209997456,154252516.077082991600037,11,JAMES A. BALCER,3,773-254-6677,312-744-6663,"121 N LASALLE ST, RM 203 OFFICE 9, 60602",3659 S  HALSTED              ST,20030527,154252515.727999985218048,59640.697059999998601
94846.80169788999774,66242248.315974496304989,30,ARIEL E. REBOYRAS,5,773-794-3095,312-744-3304,"121 N LASALLE ST, RM 203 OFFICE 25, 60602",3348 N MILWAUKEE AVE,20030527,66353941.069600000977516,95833.451102000006358
64478.926433699998597,126138042.634999006986618,39,MARGARET LAURINO,4,773-736-5594,312-744-7242,"121 N LASALLE ST, RM 209, OFFICE 19, 60602",4404 W  LAWRENCE             AV,20020301,125997498.944000005722046,64451.916721800000232
76465.664562089994433,111710129.812791004776955,12,GEORGE A. CARDENAS,5,773-523-8250,312-744-3040,"121 N LASALLE ST, RM 203 OFFICE 21, 60602",2458 W 38TH ST,20030527,111710130.14300000667572,76465.664870599997812
111469.339088099994115,227709888.310389012098312,9,ANTHONY BEALE,5,773-785-1100,312-744-6838,121 N LASALLE ST RM 209 OFFICE 13 60602,34 E  112TH                PL,20020301,224395075.148000001907349,111764.440854999993462
76887.795433389997925,132563168.218242004513741,6,RODERICK SAWYER,0,773-846-7006,312-744-6868,"121 N LASALLE ST, RM 300 OFFICE 9, 60602",406 E  75TH                 ST,20030527,132563168.358999997377396,76887.795158499997342
87634.712378109994461,112711579.644057005643845,5,LESLIE HAIRSTON,2,773-324-5555,312-744-6832,"121 N LASALLE ST, RM 300 OFFICE 23, 60602",2325 E 71ST ST,20030527,112723358.868000000715256,90361.613355099994806
101364.337029069996788,218122385.173108994960785,19,MATTHEW OSHEA,1,773-238-8766,312-744-3072,"121 N LASALLE ST, RM 300, 60602",10444 S  WESTERN AVE,20030527,217622838.199000000953674,101191.406140000006417
265448.064125799981412,502584046.432729005813599,41,MARY OCONNOR,5,773-792-1991,312-744-3208,"121 N LASALLE ST, RM 203 OFFICE 13, 60602",6650 N NORTHWEST  HWY,20030527,501647450.961000025272369,267204.814124000025913
83881.825571649998892,184267685.431506991386414,23,MICHAEL R. ZALEWSKI,4,773-582-4444,312-744-6828,"121 N LASALLE ST, RM 203 OFFICE 6, 60602",6247 S  ARCHER AVE,20030527,184142932.314000010490417,83888.43773869999859
55026.451945079999859,109583504.614050999283791,24,MICHAEL CHANDLER,4,773-522-2430,312-744-6839,"121 N LASALLE ST, RM 203 OFFICE 19, 60602",2100 S MARSHALL BLVD,20030527,109728670.841999992728233,55035.478863999996975
66126.055719600000884,55916690.77785550057888,46,JAMES CAPPLEMAN,2,773-878-4646,312-744-6831,"121 N LASALLE ST, RM 300, 60602",4544 N  BROADWAY,20030527,56233574.164300002157688,66306.144145500002196
40093.597063870001875,49792556.243242599070072,44,THOMAS M. TUNNEY,3,773-525-6034,312-744-3073,"121 N. LASALLE ST, RM 300 OFFICE 14, 60602",1057 W BELMONT  AVE,20030527,49875744.035899996757507,40602.813780299999053
84721.322821049994673,188170539.573758006095886,36,NICHOLAS SPOSATO,3,773-622-3232,312-744-6857,"121 N LASALLE ST, RM 304, 60602",6839 W  BELMONT              AV,20020301,184770930.016999989748001,89340.179795100004412
46557.690646559996821,43602665.3685142993927,48,HARRY OSTERMAN,4,773-784-5277,312-744-6860,"121 N LASALLE ST, RM 300 OFFICE 13, 60602",5533 N  BROADWAY,20030527,43602740.788599997758865,46557.68197489999875
107711.960641009995015,124552223.90922500193119,27,"WALTER BURNETT, JR.",5,312-432-1995,312-744-6124,"121 N LASALLE ST, RM 300 OFFICE 1, 60602",1463 W CHICAGO AVE,20030527,124552223.869000002741814,107711.960863000000245
46106.859578420000616,85155691.522618293762207,50,DEBRA SILVERSTEIN,2,773-764-5050,312-744-6855,"121 N LASALLE ST, RM 203 OFFICE 15, 60602",6199 N LINCOLN   AVE,20030527,85511038.896200001239777,46135.179637699999148
88527.261166619995493,114456924.771996006369591,7,SANDI JACKSON,3,773-375-9180,312-744-6833,"121 N La Salle St, RM 300",7129 S YATES BLVD,02-07-07,114266939.114999994635582,88233.577508600006695
52126.117829290000373,79085971.3916866928339,15,TONI FOULKES,5,773-863-0220,312-744-6850,121 N LASALLE ST RM 300 OFFICE 26 60602,3045 W 63RD ST,20030501,79085971.589300006628036,52126.11780379999982
70880.074427090003155,158590255.088247001171112,34,CARRIE M AUSTIN,2,773-928-6961,312-744-6820,"121 N LASALLE ST, RM 203 OFFICE 8, 60602",507 W  111TH                ST,20030527,158159645.863000005483627,71459.444148399998085
59017.297645680002461,87926764.462349399924278,40,PATRICK J. OCONNOR,1,773-769-1140,312-744-6858,"121 N LASALLE ST, RM 305, 60602",5850 N  LINCOLN              AV,20020301,87926764.743000000715256,59017.297641099998145
142564.202394310006639,550722127.906298041343689,10,JOHN POPE,1,773-721-1999,312-744-3078,"121 N LASALLE ST, RM 300 OFFICE 19, 60602",3522 E  106TH                ST,20030527,550535374.361999988555908,143185.781839000002947
156882.637705050001387,170864955.083921998739243,2,ROBERT FIORETTI,1,312-263-9273,312-744-6836,"121 N LASALLE ST, RM 300 OFFICE 2, 60602",429 S DEARBORN,20030527,170864956.013000011444092,156882.635555999993812
67264.087283660002868,139276551.565537989139557,14,EDWARD M. BURKE,1,773-471-1414,312-744-3380,121 N LASALLE ST RM 302 60602,2650 W  51ST                 ST,20020301,139217561.381000012159348,67144.501084899995476
39847.516857310001797,84401669.817818403244019,22,RICARDO MUNOZ,2,773-762-1771,312-744-9491,"121 N LASALLE ST, RM 300 OFFICE 22, 60602",2500 S  ST LOUIS             AV,20030527,84286652.658199995756149,39985.053405400001793
63655.194554009998683,62838373.898079700767994,35,REY COLON,2,773-365-3535,312-744-6835,"121 N LASALLE ST, RM 209, OFFICE 18",2710 N SAWYER AVE,20030527,62726681.300300002098083,65306.709979400002339
92400.971150020006462,110545782.67264199256897,32,SCOTT WAGUESPACK,1,773-248-1330,312-744-6567,"121 N LASALLE ST, RM 300, 60602",2657 N CLYBOURN,20030527,110545782.745000004768372,92400.970042100001592
56192.472268120000081,102315201.793427005410194,17,LATASHA R. THOMAS,4,773-723-0908,312-744-7738,121 N LASALLE ST RM 209 OFFICE 20 60602,7811 S RACINE AVE,20030527,102315201.95100000500679,56192.471518600003037
64052.890536829996563,149890005.047852993011475,21,"HOWARD B BROOKINS, JR.",3,773-881-9300,312-744-4810,121 N LASALLE ST RM 209 OFFICE 19 60602,9612 S HALSTED ST,20030527,150503027.590999990701675,64081.068258599996625
79305.166854359995341,92102230.234627395868301,16,JOANN THOMPSON,5,773-434-3399,312-744-3069,"121 N LASALLE ST, RM 300 OFFICE 14, 60602",5335 S WESTERN BLVD,20030527,92102230.182199999690056,79305.165980299992952
79055.789769480004907,146549229.350230991840363,45,JOHN ARENA,1,773-545-2545,312-744-6841,"121 N LASALLE ST, RM 305, 60602",5205 N  MILWAUKEE AVE,20020301,146549227.926999986171722,79055.790073900003335
55326.068153660002281,85995447.696673095226288,OUT,,,,,,,,86025050.792500004172325,55356.475659600000654
63341.060781890002545,73963122.184272900223732,42,BRENDAN REILLY,2,312-642-4242,312-744-3062,121 N LASALLE ST RM 306 60602,325 W HURON ST #510,20020301,73944101.62440000474453,63336.74389599999995
79866.614798540002084,147062011.400824993848801,13,MARTY QUINN,2,773-581-8000,312-744-3076,121 N LASALLE ST RM 209 OFFICE 17 60602,6500 S  PULASKI              RD,20020301,147062013.166000008583069,79866.620725700006005
92798.756653019998339,74072854.503288194537163,1,JOE MORENO,0,773-278-0101,312-744-3063,"121 N LASALLE ST, RM 300 OFFICE 5, 60602",2058 N WESTERN AVE,20030527,74072854.838200002908707,92798.755949400001555
74354.442077639992931,121086834.261107996106148,38,TIMOTHY CULLERTON,2,773-545-3838,312-744-6811,"121 N LASALLE ST, RM 203 OFFICE 12, 60602",5817 W  IRVING PARK RD,20030527,121086834.74600000679493,74354.442666000002646
7959.003608930000155,3540729.06344285979867,OUT,,,,,,,,3376469.550809999927878,7866.626695990000371
67897.099808970000595,66029289.762524701654911,43,MICHELLE SMITH,4,773-327-9111,312-744-3071,"121 N LASALLE ST, RM 209, OFFICE 19",735 W  WRIGHTWOOD           AV,20020301,66125357.45380000025034,67950.560666499994113
76086.877012419994571,96874458.362976998090744,29,DEBORAH GRAHAM,1,773-261-4646,312-744-3070,"121 N LASALLE ST, RM 300, 60602",5755 W DIVISION ST,2010607,96874453.748199999332428,76086.870746300002793
98206.786002740002004,111078823.373938992619514,20,WILLIE COCHRAN,1,773-955-5610,312-744-6840,"121 N LASALLE ST, RM 300 OFFICE 19, 60602",6357 S COTTAGE GROVE,20030527,111200062.771999999880791,98166.052905599994119
